MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err
58855.15000000007	1.1190207899737621e-15	3.622941451435526e-16	7.315328453678908e-17	7.494991583968199e-17
58855.20000000007	1.1633444335723831e-15	3.487941065228721e-16	1.1854140469648435e-16	6.533735258122651e-17
58855.25000000007	1.2082183481526497e-15	3.3555891017290926e-16	1.64292783985727e-16	5.577685545282051e-17
58855.300000000076	1.2536508507122562e-15	3.225592279304481e-16	2.1040946205188663e-16	4.628164514221045e-17
58855.35000000008	1.2996503062971351e-15	3.0976527203440844e-16	2.568934888475624e-16	3.68771384731436e-17
58855.40000000008	1.346225128664894e-15	2.9714702708714195e-16	3.0374692467891154e-16	2.7621119075187507e-17
58855.450000000084	1.3933837809520024e-15	2.8467448466813443e-16	3.5097184025509506e-16	1.8681129858888126e-17
58855.50000000009	1.4411347763433133e-15	2.7231787765141933e-16	3.985703167371853e-16	1.0770192164060918e-17
58855.55000000009	1.4894866787463652e-15	2.6004791161849373e-16	4.465444367572921e-16	7.859072837682536e-18
58855.60000000009	1.5384481034678932e-15	2.4783599127973225e-16	4.948943790467943e-16	1.3497035650053187e-17
58855.650000000096	1.5880277178937468e-15	2.356544405519868e-16	5.436160614856383e-16	2.1656682332569792e-17
58855.7000000001	1.6382342421735104e-15	2.234767159244376e-16	5.927048344276999e-16	3.0226682738671413e-17
58855.7500000001	1.6890764499070533e-15	2.112776140737675e-16	6.42156058506696e-16	3.882756012736004e-17
58855.800000000105	1.740563168835419e-15	1.990334765423215e-16	6.919651044950879e-16	4.735410134694943e-17
58855.85000000011	1.7927032815357224e-15	1.8672239700025133e-16	7.4212735316292e-16	5.576645435016906e-17
58855.90000000011	1.845505726118671e-15	1.7432444082919036e-16	7.926381951373863e-16	6.404627535054106e-17
58855.95000000011	1.8989794969306136e-15	1.6182189374555187e-16	8.434930307622231e-16	7.218393069665918e-17
58856.00000000012	1.953133645259081e-15	1.4919956846115995e-16	8.94687269957413e-16	8.017385669545414e-17
58856.05000000012	2.007977280041431e-15	1.3644522127368313e-16	9.462163320790675e-16	8.801260267903906e-17
58856.10000000012	2.063519568578954e-15	1.2355017574986514e-16	9.980756457797557e-16	9.569790853395324e-17
58856.150000000125	2.1197697372528548e-15	1.1051034598772779e-16	1.0502606488685846e-15	1.03228231065071e-16
58856.20000000013	2.176737072245702e-15	9.732806756079453e-17	1.1027667881718026e-15	1.1060248376873133e-16
58856.25000000013	2.234430920265997e-15	8.401567499198675e-17	1.155589519393482e-15	1.1781988576673107e-16
58856.300000000134	2.292860689276943e-15	7.060321314023834e-17	1.208724306976459e-15	1.2487987001748125e-16
58856.35000000014	2.352035849229609e-15	5.715716837226843e-17	1.2621666239633107e-15	1.3178202536348156e-16
58856.40000000014	2.4119659327997884e-15	4.3833571883989686e-17	1.3159119518576362e-15	1.3852605872502592e-16
58856.45000000014	2.472660536128895e-15	3.1062738337020876e-17	1.3699557804854489e-15	1.4511176973436024e-16
58856.500000000146	2.5341293195695645e-15	2.035421205415871e-17	1.4242936078569237e-15	1.5153903329657357e-16
58856.55000000015	2.5963820038425074e-15	1.6912594750335007e-17	1.478920940028095e-15	1.5780778734446093e-16
58856.60000000015	2.659427401744387e-15	2.41349446896899e-17	1.533833290962626e-15	1.63918024081584e-16
58856.650000000154	2.723272220134552e-15	3.570900064585006e-17	1.5890261823941408e-15	1.6986978361840166e-16
58856.70000000016	2.787922938806531e-15	4.827377055863354e-17	1.6444951436884672e-15	1.7566314928541447e-16
58856.75000000016	2.853386104870368e-15	6.0941068999944e-17	1.7002357117058803e-15	1.8129824414069554e-16
58856.80000000016	2.9196683332135995e-15	7.342089817602403e-17	1.7562434306639932e-15	1.8677522834425738e-16
58856.850000000166	2.986776306964731e-15	8.558992538444165e-17	1.812513852000271e-15	1.9209429716944906e-16
58856.90000000017	3.0547167779626794e-15	9.738378422646015e-17	1.8690425342349738e-15	1.9725567949059518e-16
58856.95000000017	3.1234965672299794e-15	1.0876320175167599e-16	1.9258250428341572e-15	2.0225963663063147e-16
58857.000000000175	3.193122565450756e-15	1.1970121457480373e-16	1.9828569500730266e-15	2.07106461485049e-16
