MJD,Mag,Mag_err,band,Instr
59210.22,19.834,0.245,ZTF_g,P48
59210.302,18.612,0.067,ZTF_r,P48
59211.161,18.604,0.065,ZTF_r,P48
59211.221,19.419,0.175,ZTF_g,P48
59216.175,19.505,0.148,ZTF_g,P48
59216.238,18.609,0.049,ZTF_r,P48
59216.277,18.579,0.046,ZTF_r,P48
59216.333,19.54,0.177,ZTF_g,P48
59218.186,18.752,0.052,ZTF_r,P48
59218.225,19.657,0.066,ZTF_g,P48
59218.226,19.621,0.073,ZTF_g,P48
59218.354,18.651,0.046,ZTF_r,P48
59220.201,19.618,0.062,ZTF_g,P48
59220.202,19.574,0.077,ZTF_g,P48
59220.219,18.594,0.034,ZTF_r,P48
59220.238,18.744,0.05,ZTF_r,P48
59222.173,19.689,0.193,ZTF_g,P48
59222.176,20.0,0.225,ZTF_g,P48
59222.198,18.659,0.035,ZTF_r,P48
59222.198,18.629,0.033,ZTF_r,P48
59224.195,19.854,0.104,ZTF_g,P48
59224.195,19.71,0.101,ZTF_g,P48
59224.25,18.712,0.043,ZTF_r,P48
59224.25,18.699,0.041,ZTF_r,P48
59226.158,18.867,0.08,ZTF_r,P48
59226.212,19.771,0.097,ZTF_g,P48
59226.213,19.824,0.101,ZTF_g,P48
59226.242,18.86,0.055,ZTF_r,P48
59228.141,18.62,0.088,ZTF_r,P48
59228.202,19.787,0.078,ZTF_g,P48
59228.202,19.796,0.079,ZTF_g,P48
59228.22,18.674,0.038,ZTF_r,P48
59230.202,19.656,0.074,ZTF_g,P48
59230.203,19.646,0.067,ZTF_g,P48
59230.223,18.703,0.037,ZTF_r,P48
59230.224,18.703,0.04,ZTF_r,P48
59232.181,18.704,0.034,ZTF_r,P48
59232.181,18.7,0.033,ZTF_r,P48
59232.223,19.529,0.065,ZTF_g,P48
59232.224,19.593,0.072,ZTF_g,P48
59249.138,19.267,0.173,ZTF_g,P48
59249.185,18.615,0.05,ZTF_r,P48
59249.199,18.816,0.088,ZTF_r,P48
59251.135,19.611,0.069,ZTF_g,P48
59251.178,18.838,0.047,ZTF_r,P48
59251.2,18.68,0.038,ZTF_r,P48
59253.157,18.735,0.037,ZTF_r,P48
59253.157,18.771,0.04,ZTF_r,P48
59253.177,19.532,0.071,ZTF_g,P48
59253.178,19.654,0.069,ZTF_g,P48
59255.137,18.782,0.04,ZTF_r,P48
59255.137,18.754,0.04,ZTF_r,P48
59255.158,19.671,0.069,ZTF_g,P48
59255.16,19.534,0.061,ZTF_g,P48
59257.134,18.861,0.045,ZTF_r,P48
59257.136,18.79,0.043,ZTF_r,P48
59257.162,19.507,0.054,ZTF_g,P48
59257.162,19.517,0.058,ZTF_g,P48
59260.18,19.546,0.091,ZTF_g,P48
59260.18,19.525,0.105,ZTF_g,P48
59260.223,18.753,0.119,ZTF_r,P48
59260.224,18.518,0.101,ZTF_r,P48
59263.152,19.462,0.116,ZTF_g,P48
59263.162,19.605,0.124,ZTF_g,P48
59263.174,18.717,0.062,ZTF_r,P48
59263.27,19.071,0.181,ZTF_r,P48
59265.138,18.675,0.047,ZTF_r,P48
59265.156,19.4,0.095,ZTF_g,P48
59265.177,19.396,0.086,ZTF_g,P48
59265.222,18.735,0.062,ZTF_r,P48
59267.14,18.743,0.059,ZTF_r,P48
59267.161,18.743,0.068,ZTF_r,P48
59267.22,19.489,0.187,ZTF_g,P48
59269.137,18.615,0.044,ZTF_r,P48
59269.159,18.691,0.054,ZTF_r,P48
59269.247,19.346,0.16,ZTF_g,P48
59269.247,19.721,0.227,ZTF_g,P48
59271.137,18.804,0.064,ZTF_r,P48
59271.138,18.727,0.058,ZTF_r,P48
59273.157,19.377,0.149,ZTF_g,P48
59273.208,19.145,0.15,ZTF_r,P48
59274.143,19.709,0.199,ZTF_g,P48
59275.157,19.763,0.147,ZTF_g,P48
59276.142,18.72,0.043,ZTF_r,P48
59276.176,19.497,0.096,ZTF_g,P48
59278.14,18.914,0.079,ZTF_r,P48
59278.206,19.84,0.201,ZTF_g,P48
59279.146,18.851,0.062,ZTF_r,P48
59291.194,18.774,0.065,ZTF_r,P48
59291.194,18.882,0.067,ZTF_r,P48
59293.181,18.951,0.082,ZTF_r,P48
59293.182,19.051,0.101,ZTF_r,P48
59298.157,18.553,0.223,ZTF_r,P48
59382.469,19.993,0.268,ZTF_r,P48
59382.478,19.482,0.207,ZTF_r,P48
59390.476,19.602,0.24,ZTF_r,P48
59393.472,19.887,0.229,ZTF_r,P48
59393.476,19.916,0.241,ZTF_r,P48
59393.479,19.834,0.239,ZTF_r,P48
59394.471,19.98,0.239,ZTF_r,P48
59394.473,20.127,0.251,ZTF_r,P48
59396.475,20.027,0.209,ZTF_r,P48
59397.476,20.085,0.208,ZTF_r,P48
59399.462,17.599,0.149,ZTF_r,P48
59399.467,20.109,0.245,ZTF_r,P48
59399.472,20.239,0.263,ZTF_r,P48
59399.479,19.893,0.19,ZTF_r,P48
59399.484,19.411,0.244,ZTF_r,P48
59400.463,20.087,0.247,ZTF_r,P48
59400.468,20.186,0.26,ZTF_r,P48
59400.47,20.01,0.262,ZTF_r,P48
59401.471,20.133,0.256,ZTF_r,P48
59401.473,20.007,0.212,ZTF_r,P48
59404.467,20.343,0.245,ZTF_r,P48
59404.469,20.134,0.198,ZTF_r,P48
59404.474,20.113,0.194,ZTF_r,P48
59405.466,20.21,0.203,ZTF_r,P48
59405.469,20.273,0.246,ZTF_r,P48
59405.476,20.281,0.262,ZTF_r,P48
59406.47,20.502,0.244,ZTF_r,P48
59406.473,20.62,0.249,ZTF_r,P48
59406.475,20.292,0.187,ZTF_r,P48
59424.408,20.241,0.264,ZTF_r,P48
59424.451,20.098,0.213,ZTF_g,P48
59426.447,20.05,0.163,ZTF_r,P48
59427.45,20.421,0.225,ZTF_r,P48
59429.449,20.732,0.216,ZTF_g,P48
59429.468,20.606,0.198,ZTF_r,P48
59432.61,20.015,0.096,ps_r,PAN_STARRS1
59434.448,20.639,0.15,ZTF_g,P48
59434.451,20.814,0.187,ZTF_g,P48
59434.468,20.214,0.135,ZTF_r,P48
59434.469,20.249,0.125,ZTF_r,P48
59436.454,20.687,0.168,ZTF_g,P48
59436.455,20.57,0.167,ZTF_g,P48
59436.468,20.34,0.143,ZTF_r,P48
59436.473,20.455,0.13,ZTF_r,P48
59439.452,20.719,0.207,ZTF_g,P48
59439.47,20.141,0.145,ZTF_r,P48
59440.45,20.741,0.182,ZTF_g,P48
59440.56,20.896,0.188,ps_g,PAN_STARRS1
59440.56,19.954,0.072,ps_i,PAN_STARRS1
59442.446,20.137,0.127,ZTF_r,P48
59442.472,20.521,0.172,ZTF_g,P48
59443.449,20.726,0.215,ZTF_g,P48
59443.481,20.531,0.166,ZTF_r,P48
59444.458,20.555,0.24,ZTF_g,P48
59444.474,20.497,0.172,ZTF_r,P48
59444.59,20.039,0.061,ps_i,PAN_STARRS1
59444.59,20.434,0.089,ps_r,PAN_STARRS1
