MJD	band	Flux	Flux_err	FilterSet	Instr
59134.384	ZTF_g	3.2048954092333407e-16	1.3283179909030336e-17	GeneralFilters	P48
59134.387	ZTF_g	3.140608928514066e-16	1.3595256287234497e-17	GeneralFilters	P48
59134.428	ZTF_r	4.5122762135913e-16	7.4807279603186e-18	GeneralFilters	P48
59134.454	ZTF_r	4.333069716272645e-16	8.380899857898382e-18	GeneralFilters	P48
59136.39	ZTF_g	3.1696686251410145e-16	1.0509741685412112e-17	GeneralFilters	P48
59136.398	ZTF_g	2.9744992312607176e-16	1.0684498638876156e-17	GeneralFilters	P48
59136.471	ZTF_r	4.694568459248777e-16	6.918171745475993e-18	GeneralFilters	P48
59136.472	ZTF_r	4.821649939328899e-16	6.661355564360623e-18	GeneralFilters	P48
59138.345	ZTF_r	4.4055047781264697e-16	6.897953747875063e-18	GeneralFilters	P48
59139.375	ZTF_r	4.61738062860311e-16	7.654976498952705e-18	GeneralFilters	P48
59139.407	ZTF_g	2.8042314843800675e-16	1.5496755871771466e-17	GeneralFilters	P48
59140.37	ZTF_r	4.773046623457781e-16	6.154593761870093e-18	GeneralFilters	P48
59140.402	ZTF_g	3.083286355398869e-16	1.1075265551022472e-17	GeneralFilters	P48
59141.337	ZTF_r	4.600400866799003e-16	7.203113831228025e-18	GeneralFilters	P48
59141.415	ZTF_g	2.882795669662106e-16	1.0620611736178804e-17	GeneralFilters	P48
59142.366	ZTF_r	4.759876411952639e-16	6.576012282393666e-18	GeneralFilters	P48
59142.403	ZTF_g	2.9041153412510296e-16	1.176907193985589e-17	GeneralFilters	P48
59143.32	ZTF_r	4.4136274968334017e-16	6.910671958561308e-18	GeneralFilters	P48
59143.39	ZTF_g	2.941804859425514e-16	9.48325842213489e-18	GeneralFilters	P48
59144.385	ZTF_g	3.228597164553971e-16	1.0110402795243354e-17	GeneralFilters	P48
59144.419	ZTF_r	4.720583419079024e-16	6.521727006603734e-18	GeneralFilters	P48
59145.344	ZTF_r	4.524761334413637e-16	6.2511887987860134e-18	GeneralFilters	P48
59145.417	ZTF_g	2.90144178358159e-16	9.887608566616238e-18	GeneralFilters	P48
59146.385	ZTF_r	5.743751955731234e-16	8.358501862869192e-17	GeneralFilters	P48
59149.374	ZTF_r	4.541461915928872e-16	9.20225020705584e-18	GeneralFilters	P48
59149.455	ZTF_g	2.9336875718182493e-16	1.4590940984000497e-17	GeneralFilters	P48
59150.288	ZTF_r	4.80391900613152e-16	8.406688541516597e-18	GeneralFilters	P48
59150.409	ZTF_g	2.8907721432949546e-16	2.1566246255834652e-17	GeneralFilters	P48
59151.325	ZTF_g	2.8642693849827706e-16	2.5853278033667772e-17	GeneralFilters	P48
59151.364	ZTF_r	4.273617770969556e-16	1.1021212801299593e-17	GeneralFilters	P48
59152.363	ZTF_g	2.888110869507199e-16	2.8196513188575256e-17	GeneralFilters	P48
59152.399	ZTF_r	4.317135467489433e-16	1.1928686126252437e-17	GeneralFilters	P48
59153.338	ZTF_r	4.07751602570144e-16	1.35199117688032e-17	GeneralFilters	P48
59153.401	ZTF_g	2.817175228804037e-16	2.854185701926352e-17	GeneralFilters	P48
59155.258	ZTF_r	4.0141692208619595e-16	1.2570434043848671e-17	GeneralFilters	P48
59155.287	ZTF_r	3.9155761687118116e-16	1.0819136779870272e-17	GeneralFilters	P48
