MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
58936.25000000479	nan	nan	8.344636407885759e-16	8.514573881028485e-17	1.4934822047446607e-15	2.0169030843705617e-17	3.9563355359985865e-16	6.168898621587928e-18	7.162905726505859e-16	1.14428256840503e-17	2.5496253825844873e-16	3.881750428976019e-18
58936.30000000479	nan	nan	8.349460442141382e-16	8.443132139210412e-17	1.4936644553834401e-15	1.959247350699055e-17	3.9605305152578364e-16	5.972851381822033e-18	7.1753629884855515e-16	1.107917761644297e-17	2.5506919055969003e-16	3.826464859474943e-18
58936.35000000479	nan	nan	8.3542701913827595e-16	8.371631215466494e-17	1.4938436257078742e-15	1.9020452932123626e-17	3.964742960273872e-16	5.777276998853049e-18	7.187839362736749e-16	1.071627408807875e-17	2.551759867247349e-16	3.77224627336143e-18
58936.400000004796	nan	nan	8.359065486421564e-16	8.300077648244458e-17	1.4940197087111275e-15	1.8453506897709558e-17	3.9689729610071334e-16	5.5823059296191675e-18	7.200334897963013e-16	1.0354354985212349e-17	2.5528293058620524e-16	3.719181969141372e-18
58936.4500000048	nan	nan	8.3638461571178895e-16	8.228478181397742e-17	1.4941926973659246e-15	1.7892235593671438e-17	3.9732206074869387e-16	5.388086138325111e-18	7.212849642918361e-16	9.993692563961985e-18	2.55390025976652e-16	3.66736341522736e-18
58936.5000000048	nan	nan	8.368612032376338e-16	8.156839772540153e-17	1.4943625846244014e-15	1.733730992966872e-17	3.977485989812238e-16	5.194786155783716e-18	7.225383646407589e-16	9.634597152581394e-18	2.5549727672856317e-16	3.616886246906413e-18
58936.550000004805	nan	nan	8.37336294014273e-16	8.085169601791821e-17	1.494529363418169e-15	1.6789480914606226e-17	3.9817691981518464e-16	5.0025987547222755e-18	7.237936957286506e-16	9.277424014098883e-18	2.5560468667437507e-16	3.567850216521462e-18
58936.60000000481	nan	nan	8.378098707400646e-16	8.013475080932355e-17	1.4946930266581845e-15	1.6249590182144142e-17	3.9860703227450724e-16	4.811745373497111e-18	7.250509624461954e-16	8.922581623113817e-18	2.557122596464809e-16	3.520359088637187e-18
58936.65000000481	nan	nan	8.382819160167775e-16	7.941763862982781e-17	1.4948535672348597e-15	1.5718581706192255e-17	3.990389453902186e-16	4.622481447046154e-18	7.263101696892246e-16	8.57054166263105e-18	2.5581999947724094e-16	3.474520471328501e-18
58936.700000004814	nan	nan	8.387524123492333e-16	7.870043852235387e-17	1.4950109780178994e-15	1.5197514694527638e-17	3.9947266820048474e-16	4.435102832995169e-18	7.275713223587026e-16	8.221851105365594e-18	2.5592790999899803e-16	3.4304455746762257e-18
58936.75000000482	nan	nan	8.392213421449678e-16	7.798323214751572e-17	1.4951652518563016e-15	1.4687577560586486e-17	3.9990820975067913e-16	4.249953549942164e-18	7.288344253607688e-16	7.877146804144857e-18	2.560359950440798e-16	3.388248887568574e-18
58936.80000000482	nan	nan	8.396886877138502e-16	7.726610389350698e-17	1.4953163815783798e-15	1.4190102737021973e-17	4.0034557909340786e-16	4.067435069450162e-18	7.300994836067419e-16	7.537173070061305e-18	2.5614425844481563e-16	3.348047764536822e-18
58936.85000000482	nan	nan	8.401544312677362e-16	7.654914099110556e-17	1.4954643599916764e-15	1.3706581896618107e-17	4.007847852885722e-16	3.888017413660821e-18	7.313665020131526e-16	7.202802746854867e-18	2.5625270403354233e-16	3.3099619153235504e-18
58936.900000004825	nan	nan	8.406185549201101e-16	7.583243363403129e-17	1.495609179882953e-15	1.3238680865563115e-17	4.0122583740342284e-16	3.712252289752369e-18	7.326354855017494e-16	6.875062265623028e-18	2.563613356426162e-16	3.274112791524109e-18
58936.95000000483	nan	nan	8.41081040685704e-16	7.51160751048846e-17	1.495750834018147e-15	1.2788253136740892e-17	4.016687445125954e-16	3.540788412465137e-18	7.339064389995064e-16	6.5551610298879346e-18	2.564701571044274e-16	3.2406228669838737e-18
58937.00000000483	nan	nan	8.415418704801546e-16	7.440016190691374e-17	1.4958893151423398e-15	1.2357350403304297e-17	4.0211351569817e-16	3.374388979182646e-18	7.351793674386725e-16	6.244525149546292e-18	2.565791722514004e-16	3.2096148115759308e-18
58937.050000004834	nan	nan	8.420010261196228e-16	7.368479390183862e-17	1.496024615979757e-15	1.19482279435918e-17	4.0256016004971973e-16	3.213950898359851e-18	7.364542757567602e-16	5.944834872483662e-18	2.566883849160156e-16	3.1812105617104408e-18
58937.10000000484	nan	nan	8.424584893204181e-16	7.297007445399641e-17	1.4961567292336503e-15	1.156334203551788e-17	4.030086866643625e-16	3.0605247298561624e-18	7.377311688965797e-16	5.6580638555666054e-18	2.56797798930809e-16	3.1555302953597375e-18
58937.15000000484	nan	nan	8.429142416986584e-16	7.225611058104027e-17	1.496285647586427e-15	1.120533595325451e-17	4.0345910464679356e-16	2.915333252035766e-18	7.390100518062485e-16	5.386516417222566e-18	2.5690741812839046e-16	3.1326913241179648e-18
58937.20000000484	nan	nan	8.433682647698569e-16	7.154301311145369e-17	1.4964113636993813e-15	1.0877010671964225e-17	4.0391142310936974e-16	2.7797850125834547e-18	7.402909294392144e-16	5.132855876489927e-18	2.5701724634145204e-16	3.112806920080546e-18
58937.250000004846	nan	nan	8.438205399485892e-16	7.083089684912655e-17	1.4965338702129196e-15	1.0581276432574025e-17	4.043656511721185e-16	2.6554771395356975e-18	7.41573806754271e-16	4.900112945215657e-18	2.5712728740277545e-16	3.0959851005197865e-18
58937.30000000485	nan	nan	8.442710485480881e-16	7.011988074523229e-17	1.4966531597463151e-15	1.03210821279482e-17	4.048217979628171e-16	2.5441793654008352e-18	7.428586887155764e-16	4.691658394982074e-18	2.572375451452439e-16	3.082327398022715e-18
58937.35000000485	1.7701359523886548e-15	4.0252993603654067e-17	8.44719771779883e-16	6.94100880776463e-17	1.496769224897782e-15	1.0099321391895256e-17	4.0527987261703183e-16	2.4477894927997105e-18	7.441455802926772e-16	4.511120482200825e-18	2.573480234018547e-16	3.0719276479882126e-18
58937.400000004855	1.771718146232586e-15	3.959750518318654e-17	8.451666907534164e-16	6.87016466381532e-17	1.4968820582444968e-15	9.91871748178874e-18	4.0573988427817194e-16	2.3682510389177128e-18	7.454344864605051e-16	4.362228153417687e-18	2.574587260057247e-16	3.064870828066828e-18
58937.45000000486	1.7733010174611276e-15	3.8946003082131544e-17	8.456117864756577e-16	6.799468892763682e-17	1.496991652342374e-15	9.781693363731818e-18	4.0620184209753104e-16	2.3074287629521543e-18	7.467254121994297e-16	4.2485704700878755e-18	2.5756965679010676e-16	3.0612319855661466e-18
