MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err
59093.180000000335	1.0797684438070538e-16	7.285136498913372e-18	1.0814760492076558e-16	3.849140740593942e-18	nan	nan	nan	nan	nan	nan
59093.23000000034	1.0869221749778787e-16	7.316921581453043e-18	1.0908768020583094e-16	3.886448862943013e-18	nan	nan	nan	nan	nan	nan
59093.28000000034	1.0940765991909508e-16	7.349407039010813e-18	1.1002754817674434e-16	3.92334924290796e-18	nan	nan	nan	nan	nan	nan
59093.330000000344	1.1012316155555821e-16	7.382558104826279e-18	1.1096718422977605e-16	3.959831111875123e-18	nan	nan	nan	nan	nan	nan
59093.38000000035	1.1083871231757625e-16	7.416341449180858e-18	1.1190656376010354e-16	3.9958854807893324e-18	nan	nan	nan	nan	nan	nan
59093.43000000035	1.1155430211494937e-16	7.450725162112503e-18	1.128456621616277e-16	4.031505084860316e-18	nan	nan	nan	nan	nan	nan
59093.48000000035	1.1226992085717935e-16	7.485678731993405e-18	1.1378445482694032e-16	4.0666843312797816e-18	nan	nan	nan	nan	nan	nan
59093.530000000355	1.1298556171240549e-16	7.521170148385877e-18	1.1472291714725664e-16	4.101419249727652e-18	nan	nan	nan	nan	nan	nan
59093.58000000036	1.1370122907395634e-16	7.557158862191963e-18	1.1566102451225014e-16	4.1357074454679096e-18	nan	nan	nan	nan	nan	nan
59093.63000000036	1.1441692974944267e-16	7.593603556163288e-18	1.1659875231006886e-16	4.1695480549149924e-18	nan	nan	nan	nan	nan	nan
59093.680000000364	1.151326705457729e-16	7.630464281431812e-18	1.175360759271292e-16	4.20294170333508e-18	nan	nan	nan	nan	nan	nan
59093.73000000037	1.1584845826916599e-16	7.667702461159453e-18	1.1847297074812424e-16	4.235890464586832e-18	nan	nan	nan	nan	nan	nan
59093.78000000037	1.1656429972519582e-16	7.705280890367965e-18	1.1940941215589923e-16	4.268397822631513e-18	nan	nan	nan	nan	nan	nan
59093.83000000037	1.172802017188246e-16	7.743163732329071e-18	1.2034537553131475e-16	4.300468634650252e-18	nan	nan	nan	nan	nan	nan
59093.880000000376	1.179961710544209e-16	7.781316511843052e-18	1.212808362532857e-16	4.332109095473904e-18	nan	nan	nan	nan	nan	nan
59093.93000000038	1.1871221453581904e-16	7.819706105771233e-18	1.2221576969850144e-16	4.363326703301461e-18	nan	nan	nan	nan	nan	nan
59093.98000000038	1.1942833896632415e-16	7.858300731069189e-18	1.23150151241567e-16	4.3941302263021106e-18	nan	nan	nan	nan	nan	nan
