MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
59150.288,17.6,0.019,2.4379087049129937e-16,4.26625410392994e-18,ZTF_r,P48,GeneralFilters
59150.409,19.083,0.081,1.1026244569439894e-16,8.225992706244828e-18,ZTF_g,P48,GeneralFilters
59151.325,19.093,0.098,1.0925155351601434e-16,9.861191141686703e-18,ZTF_g,P48,GeneralFilters
59151.364,17.727,0.028,2.1687896802630458e-16,5.593081522126562e-18,ZTF_r,P48,GeneralFilters
59152.363,19.084,0.106,1.1016093698255495e-16,1.0754969088234568e-17,ZTF_g,P48,GeneralFilters
59152.399,17.716,0.03,2.1908741848161317e-16,6.0536090862997176e-18,ZTF_r,P48,GeneralFilters
59153.338,17.778,0.036,2.0692713180201414e-16,6.861129537935965e-18,ZTF_r,P48,GeneralFilters
59153.401,19.111,0.11,1.0745524561598649e-16,1.0886693255652888e-17,ZTF_g,P48,GeneralFilters
59155.258,17.795,0.034,2.037123871997533e-16,6.379285441931599e-18,ZTF_r,P48,GeneralFilters
59155.287,17.822,0.03,1.9870895438221415e-16,5.490531314459043e-18,ZTF_r,P48,GeneralFilters
59155.366,19.267,0.143,9.307383763729599e-17,1.2258556658427248e-17,ZTF_g,P48,GeneralFilters
59155.386,19.134,0.104,1.0520287808751448e-16,1.0077124879094221e-17,ZTF_g,P48,GeneralFilters
59157.385,19.287,0.105,9.137504864939135e-17,8.83675064545114e-18,ZTF_g,P48,GeneralFilters
59157.385,19.401,0.131,8.226737143841497e-17,9.92600745116826e-18,ZTF_g,P48,GeneralFilters
59157.435,18.011,0.037,1.6696192298549116e-16,5.689771717467377e-18,ZTF_r,P48,GeneralFilters
59157.445,17.944,0.038,1.7758956280419302e-16,6.2155092157608254e-18,ZTF_r,P48,GeneralFilters
59164.301,18.197,0.031,1.4067516657426865e-16,4.016565114703721e-18,ZTF_r,P48,GeneralFilters
59164.325,18.277,0.029,1.3068250120216375e-16,3.490527918526034e-18,ZTF_r,P48,GeneralFilters
59164.433,19.559,0.068,7.112587483720658e-17,4.454635912235692e-18,ZTF_g,P48,GeneralFilters
59164.434,19.866,0.096,5.3607755134021195e-17,4.739958445074125e-18,ZTF_g,P48,GeneralFilters
59166.298,17.831,0.183,1.9706860306787007e-16,3.321576106919458e-17,ZTF_r,P48,GeneralFilters
59166.299,18.023,0.14,1.651267518296074e-16,2.129223024417335e-17,ZTF_r,P48,GeneralFilters
59166.387,19.849,0.085,5.4453728438960104e-17,4.2630676742908465e-18,ZTF_g,P48,GeneralFilters
59166.414,19.663,0.066,6.462902753414273e-17,3.928685253895209e-18,ZTF_g,P48,GeneralFilters
59168.217,19.706,0.077,6.211945276361248e-17,4.405488038288001e-18,ZTF_g,P48,GeneralFilters
59168.257,19.882,0.076,5.282355445571818e-17,3.697574163080355e-18,ZTF_g,P48,GeneralFilters
59168.28,18.325,0.027,1.2503092324462764e-16,3.1092588722847134e-18,ZTF_r,P48,GeneralFilters
59168.295,18.305,0.029,1.27355421657433e-16,3.401661666876366e-18,ZTF_r,P48,GeneralFilters
59170.222,19.943,0.098,4.993759480924755e-17,4.5074340063998105e-18,ZTF_g,P48,GeneralFilters
59170.234,19.904,0.085,5.176397528653293e-17,4.052492566862012e-18,ZTF_g,P48,GeneralFilters
59170.275,18.444,0.03,1.120514389543323e-16,3.0960956758173287e-18,ZTF_r,P48,GeneralFilters
59170.28,18.436,0.031,1.128801136691978e-16,3.2229592311740802e-18,ZTF_r,P48,GeneralFilters
59172.235,19.977,0.084,4.839802295340432e-17,3.744403023745187e-18,ZTF_g,P48,GeneralFilters
59172.258,19.691,0.066,6.298362043275856e-17,3.82866384149739e-18,ZTF_g,P48,GeneralFilters
59174.348,18.308,0.059,1.2700401133780368e-16,6.901526020862215e-18,ZTF_r,P48,GeneralFilters
59175.302,19.979,0.145,4.8308952562505986e-17,6.451657493657802e-18,ZTF_g,P48,GeneralFilters
59175.369,18.486,0.066,1.0779967166334072e-16,6.552953008843838e-18,ZTF_r,P48,GeneralFilters
59176.322,18.551,0.038,1.0153538924827903e-16,3.553666880155408e-18,ZTF_r,P48,GeneralFilters
59176.351,19.854,0.075,5.4203536283129936e-17,3.7442476389928985e-18,ZTF_g,P48,GeneralFilters
59177.39,19.87,0.076,5.341062022437341e-17,3.738667937260739e-18,ZTF_g,P48,GeneralFilters
59179.232,19.801,0.157,5.69151154571875e-17,8.230059095034997e-18,ZTF_g,P48,GeneralFilters
59179.253,19.826,0.159,5.561956925976084e-17,8.145175111179103e-18,ZTF_g,P48,GeneralFilters
59179.311,18.532,0.046,1.0332786075411247e-16,4.3777499302862545e-18,ZTF_r,P48,GeneralFilters
59179.322,18.525,0.046,1.0399619222240029e-16,4.406065507685728e-18,ZTF_r,P48,GeneralFilters
59181.277,18.499,0.073,1.0651663500607242e-16,7.161697584889408e-18,ZTF_r,P48,GeneralFilters
59181.279,18.515,0.07,1.049584571414428e-16,6.766921806331139e-18,ZTF_r,P48,GeneralFilters
