MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
58792.535000000295	nan	nan	2.0332098379046113e-17	9.267249559599433e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.5850000003	nan	nan	2.041171089929771e-17	9.278540836074785e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.6350000003	nan	nan	2.049128489161897e-17	9.29056771554486e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.6850000003	nan	nan	2.0570818464144657e-17	9.303303037690085e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.735000000306	nan	nan	2.0650309724927373e-17	9.31672022609218e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.78500000031	nan	nan	2.0729756781929855e-17	9.330793299993475e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.83500000031	nan	nan	2.0809157743021683e-17	9.345496884356734e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.885000000315	nan	nan	2.088851071597872e-17	9.360806218285742e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.93500000032	nan	nan	2.0967813808476244e-17	9.376697161819153e-19	nan	nan	nan	nan	nan	nan	nan	nan
58792.98500000032	nan	nan	2.1047065128088676e-17	9.393146201237798e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.03500000032	nan	nan	2.1126262782284817e-17	9.41013045289052e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.08500000033	nan	nan	2.1205404878423717e-17	9.427627665610047e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.13500000033	nan	nan	2.128448952375286e-17	9.445616221861024e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.18500000033	nan	nan	2.136351482540414e-17	9.464075137571776e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.235000000335	nan	nan	2.1442478890391252e-17	9.482984060782687e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.28500000034	nan	nan	2.1521379825604366e-17	9.502323269225905e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.33500000034	nan	nan	2.1600215737808952e-17	9.522073666762641e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.385000000344	nan	nan	2.167898473364165e-17	9.542216778874703e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.43500000035	nan	nan	2.1757684919606324e-17	9.562734747227728e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.48500000035	nan	nan	2.1836314530153057e-17	9.583609422734533e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.53500000035	nan	nan	2.191487249235604e-17	9.60481838990532e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.585000000356	nan	nan	2.1993357966295684e-17	9.62633819985353e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.63500000036	nan	nan	2.207177011208699e-17	9.648146011774064e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.68500000036	nan	nan	2.215010808969865e-17	9.670219596525555e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.735000000364	nan	nan	2.2228371058956476e-17	9.692537338080985e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.78500000037	nan	nan	2.230655817953947e-17	9.715078233973595e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.83500000037	nan	nan	2.2384668610976855e-17	9.737821894975933e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.88500000037	nan	nan	2.2462701512649836e-17	9.760748543927361e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.935000000376	nan	nan	2.2540656043787748e-17	9.78383901386928e-19	nan	nan	nan	nan	nan	nan	nan	nan
58793.98500000038	nan	nan	2.2618531363466715e-17	9.80707474549352e-19	nan	nan	nan	nan	nan	nan	nan	nan
