MJD	ZTF_g	ZTF_g_err	ZTF_r	ZTF_r_err	ps_g	ps_g_err	ps_i	ps_i_err	ps_r	ps_r_err	ps_z	ps_z_err
59012.500000009226	1.8996586848220552e-16	2.4282572811137957e-17	2.8243069287415146e-16	3.009259954486523e-17	2.2605881050554677e-16	1.4390951664109946e-17	3.0245285882179526e-16	7.857808179502597e-18	3.052319610396313e-16	1.383332679669531e-17	3.4091563791198076e-16	2.1741913341991572e-17
59012.55000000923	1.902830186949181e-16	2.3894148128340124e-17	2.817521257721779e-16	3.022639927217781e-17	2.2558352506131605e-16	1.4065425429838426e-17	3.027491019382219e-16	7.814402305078367e-18	3.0497043466584466e-16	1.3982503203299813e-17	3.407547900628194e-16	2.1910205686109466e-17
59012.60000000923	1.9058778053937954e-16	2.3488002248302705e-17	2.810704860210872e-16	3.035002202500442e-17	2.2509753181147165e-16	1.3740706665544509e-17	3.0304027408862223e-16	7.762728920320137e-18	3.04695169116024e-16	1.412427020932497e-17	3.405937689526136e-16	2.207757729324961e-17
59012.650000009235	1.9087989360983354e-16	2.3064517820011462e-17	2.8038598992053433e-16	3.0463436441358646e-17	2.246007712698591e-16	1.3416934309800883e-17	3.0332611631245215e-16	7.702848792279751e-18	3.044064357235557e-16	1.425852703856511e-17	3.404325798128337e-16	2.2244021241035646e-17
59012.70000000924	1.91159097188593e-16	2.2624104683488995e-17	2.7969885374475994e-16	3.056661436852399e-17	2.2409318389119444e-16	1.3094254730952667e-17	3.036063696261024e-16	7.634835899475569e-18	3.041045057394849e-16	1.4385177318318582e-17	3.402712278744495e-16	2.2409530700170767e-17
59012.75000000924	1.9142513024010335e-16	2.2167202384810105e-17	2.7900929374424526e-16	3.065953082929983e-17	2.2357471007089975e-16	1.2772822395504905e-17	3.0388077502188106e-16	7.558778342889263e-18	3.037896503342772e-16	1.4504128900900596e-17	3.401097183679841e-16	2.2574098932650356e-17
59012.80000000924	1.9167773140492928e-16	2.169428313849616e-17	2.7831752614737566e-16	3.074216399242997e-17	2.230452901447213e-16	1.24528006103576e-17	3.0414907346686297e-16	7.474779460016711e-18	3.03462140599333e-16	1.4615293704410672e-17	3.399480565236208e-16	2.273771929001363e-17
59012.850000009246	1.9191663899383573e-16	2.12058553278455e-17	2.7762376716195986e-16	3.081449514670989e-17	2.2250486438837916e-16	1.2134362347410188e-17	3.0441100590189665e-16	7.382959174112787e-18	3.0312224754855244e-16	1.4718587570925393e-17	3.3978624757113167e-16	2.290038521168155e-17
59012.90000000925	1.9214159098178213e-16	2.0702467655800058e-17	2.7692823297701045e-16	3.087650867892163e-17	2.219533730173812e-16	1.1817691159415378e-17	3.0466631324053524e-16	7.283455619199669e-18	3.0277024212005963e-16	1.4813930140008197e-17	3.396242967398601e-16	2.306209022338003e-17
59012.95000000925	1.9235232500193462e-16	2.0184714086518396e-17	2.76231139764298e-16	3.092819205505541e-17	2.2139075618650793e-16	1.1502982197389351e-17	3.0491473636793746e-16	7.176427090279846e-18	3.0240639517769114e-16	1.4901244736714653e-17	3.394622092588096e-16	2.3222827935613482e-17
59013.000000009255	1.9254857833970176e-16	1.9653239752451317e-17	2.755327036799405e-16	3.096953580515667e-17	2.2081695398964733e-16	1.1190443339846245e-17	3.051560161398984e-16	7.062054380055974e-18	3.020309775126243e-16	1.4980458272322273e-17	3.3929999035655474e-16	2.3382592042181913e-17
59013.05000000926	1.9273008792670996e-16	1.9108748046515456e-17	2.748331408661644e-16	3.1000533511227483e-17	2.2023190645943383e-16	1.0880296445067221e-17	3.0538989338164775e-16	6.940543577380006e-18	3.0164425984506553e-16	1.5051501157077957e-17	3.3913764526136624e-16	2.3541376318823105e-17
59013.10000000926	1.9289659033482332e-16	1.8552009175183033e-17	2.7413266745278474e-16	3.102118179843579e-17	2.1963555356699062e-16	1.0572778737552757e-17	3.0561610888690186e-16	6.8121294195455665e-18	3.0124651282574996e-16	1.51143072241033e-17	3.3897517920105e-16	2.3699174621854797e-17
